PC1,PC2,PC3,Time (ps),ΔGbind,ΔGbind_Coulomb,ΔGbind_Covalent,ΔGbind_Vander,ΔGbind_HBond,ΔGbind_Lipophilic,
-12.18304919,8.183324722,-30.58403132,17864.27146,-77.18840236,-22.87792871,-3.901787202,-48.05424161,-1.523429823,-24.39988051,
-6.204714442,10.71286198,-24.58652047,17964.07186,-68.38402756,-29.35810258,-6.227660271,-50.70914076,-1.874835636,-28.08019659,
-3.858789719,3.37764408,-27.33392184,18063.87226,-72.01542212,-18.24579056,-8.396751477,-51.58905563,-1.290203501,-30.14153775,
-7.734175676,12.21110393,-28.05255394,18163.67265,-87.36861424,-23.21372683,-6.348197837,-49.20111525,-2.71637827,-36.53715153,
-5.847434763,1.354088859,-32.94216969,18263.47305,-77.70632851,-20.60197866,-6.367672599,-52.11024177,-2.404829763,-38.65337207,
-9.051049067,1.184731463,-35.7794992,18363.27345,-69.28286429,-26.65696609,-8.621796117,-41.65147492,-2.067987192,-21.87431023,
-5.684788739,5.292137754,-26.90924763,18463.07385,-67.87323404,-24.62536736,-7.42352272,-46.33042369,-1.360207161,-31.73322826,
-6.024260689,9.42859041,-30.35651259,18562.87425,-74.11962139,-20.43750045,-5.244009516,-47.08505806,-2.369241801,-27.72683384,
-10.21545752,10.81727661,-30.91679303,18662.67465,-77.45713201,-14.11293684,-6.38456924,-52.79386881,0.209282345,-23.20842146,
-6.90529324,12.68625758,-20.89876824,18762.47505,-68.75604476,-22.88440327,-6.118576758,-39.60458239,-2.578602899,-34.01725905,
-1.713497511,12.7796458,-24.09269718,18862.27545,-76.68920049,-24.38090413,-7.119967805,-55.41501453,-4.227330035,-23.9571158,
-2.771018635,2.129192166,-29.02298223,18962.07585,-77.26993257,-16.24512676,-4.024434056,-61.40491792,-2.710795446,-33.61098395,
-18.48600126,9.458295468,-31.33213493,19061.87625,-71.02146214,-12.69821359,-3.363998603,-50.58951832,-3.357773791,-26.55853923,
-4.885300482,5.84170374,-33.07290753,19161.67665,-68.53035839,-25.7807076,-4.979059969,-46.52721482,-1.940410896,-33.81045374,
-3.008842055,8.896515185,-28.31565665,19261.47705,-67.93291172,-22.19290584,-3.260115499,-34.31220115,-3.064646053,-28.75020115,
-7.170563707,12.93360469,-25.70662576,19361.27745,-68.93993131,-10.78652831,-4.170567377,-60.49339694,-1.73506526,-30.33027193,
-3.341482676,10.34268419,-24.58661912,19461.07784,-75.24229671,-19.22578111,-6.909524066,-42.05526516,-1.470525807,-31.61771012,
-9.004011704,13.35194739,-20.23316721,19560.87824,-73.92868794,-18.32376924,-5.719182293,-51.99833118,-2.378305768,-30.76962666,
-9.141376891,12.32185761,-21.87614955,19660.67864,-77.62853737,-18.76695161,-0.728809894,-50.28229138,-2.056868236,-24.54579534,
-11.31124842,19.51409195,-20.27080963,19760.47904,-76.77988493,-24.49030365,-5.275712202,-47.89659286,-0.427876255,-29.13245616,
-3.322293246,7.802871338,-25.57749716,19860.27944,-79.88785337,-16.89202942,-3.036778966,-42.85041468,-2.349181807,-17.61915282,
-6.668226398,6.806516721,-30.14805179,19960.07984,-77.99984926,-19.55956352,-5.008530624,-51.45839393,-1.881772412,-25.53933897,
-6.336284334,6.108330008,-30.2513849,20059.88024,-70.7859888,-24.11547304,-7.17069945,-54.88473212,-2.064392904,-24.24392508,
-8.98637253,12.56542396,-25.32987891,20159.68064,-71.31588761,-21.79040601,-1.502582677,-50.01422544,-1.42808202,-25.88796771,
-24.56630343,19.56000457,-23.96168601,20259.48104,-73.01702008,-18.24384167,-4.400053532,-39.81762457,-2.526641293,-25.40457115,
-12.43099941,16.63522599,-23.40433646,20359.28144,-70.04000324,-18.68967249,-7.765026258,-49.38440615,-2.687820023,-32.84105861,
-12.77806942,8.284955671,-28.39816023,20459.08184,-74.28076824,-12.39212833,-6.045501059,-50.76720946,-3.161544411,-33.51501055,
-15.33350916,8.889849002,-27.59269002,20558.88224,-76.69982287,-16.00352264,-5.743559523,-49.77867343,-1.80940561,-34.20697062,
-10.37763929,10.9559772,-23.03639036,20658.68263,-85.70423753,-19.166453,-7.15655188,-48.95108189,-2.113567542,-32.02655321,
-13.17909157,8.299201977,-26.44539068,20758.48303,-76.76599925,-18.30314549,-4.584864921,-55.42926658,-1.684754012,-30.22087838,
-11.77259253,16.59164629,-16.22660122,20858.28343,-74.26613505,-22.67814442,-6.470674099,-48.61698548,-1.77726609,-32.0121703,
-14.6291918,8.80366494,-21.30754989,20958.08383,-79.52952312,-19.13139447,-3.663444881,-48.13977881,-3.646286713,-29.42637792,
-17.36900372,12.36632763,-21.0148252,21057.88423,-72.29767987,-25.06589481,-5.003452117,-49.25942477,-3.062079741,-29.20311908,
-12.14580008,7.746198542,-22.59828596,21157.68463,-78.12760846,-20.7072641,-6.00206747,-43.7659985,-0.099453545,-20.31885762,
-15.82061178,10.31656398,-21.90386218,21257.48503,-72.78745389,-14.54355561,-3.760198159,-51.65976369,-1.090856036,-29.5885561,
-15.12773877,17.18351502,-24.42225205,21357.28543,-77.50388412,-18.06013459,-4.657191064,-38.74795856,-2.652125248,-24.01598564,
