## Torsion are defined with the following atomIDs:
# dihed1: ai= 25 aj= 26 ak= 29 al= 4267
# dihed2: ai= 24 aj= 23 ak= 22 al= 4
# dihed3: ai= 22 aj= 4 ak= 10 al= 1
# dihed4: ai= 2 aj= 11 ak= 12 al= 13
# dihed5: ai= 5 aj= 6 ak= 3 al= 18
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5
422   11.047    4.288 -146.945   40.674    2.144
423   21.130  -17.322 -136.906   35.754  -17.336
424    6.739  -17.503 -138.016   44.544   -6.429
425   44.930  -46.522 -138.513   26.847  -25.123
426   32.248  -25.909 -141.647   43.280  -29.739
427   19.647  -24.839 -136.862   24.109  -21.940
428  -15.487  -27.987 -126.677   26.328  -12.393
429  135.049    4.336 -175.526  131.742  -19.894
430    6.531   29.567  155.250  107.979  -30.481
431   11.341   15.368  152.755  120.402   -5.107
432  147.479   17.665  165.631  124.215  -14.579
433 -174.927  -18.512  170.802   88.571  -66.624
434   21.880   28.395  139.520  124.847  -39.073
435 -159.137   21.174  154.355  121.891  -18.255
436   45.304    3.004 -170.815   69.836  -10.077
437  -15.803    0.557 -152.788   35.242  -30.827
438  -22.876  -12.210 -150.410   50.517  -34.316
439   15.816   10.419 -144.672   34.896  -23.416
440   48.457    7.732 -169.111   45.883    1.366
441   13.133   21.906 -160.005   52.355  -27.080
442  141.891   -1.354 -139.706   54.510  -21.372
443   26.141    1.326 -134.861   42.121  -14.260
444  155.309   23.075  179.384  105.824  -20.837
445   15.755    8.208 -127.011   42.787  -23.459
446   -8.707   -5.329 -141.848   35.008  -16.030
447   19.051   26.203 -135.830   60.374  -23.929
448   26.414  -18.462 -140.696   31.240   -3.917
449  133.128  -28.143 -147.196   47.163  -12.272
450  151.028  -19.937 -155.915   53.665  -35.005
451   68.480  -10.764 -142.366   38.471  -22.771
452   36.425  -11.690 -139.160   31.895   -8.395
453  -27.146  -27.655 -125.486   39.110  -19.949
454   14.375  -21.120 -140.539   33.593  -19.627
455  147.781  -24.473 -165.217   52.788    1.822
456   26.293  -21.299 -156.677   51.802  -18.002
457   28.315  -24.130 -136.578   35.369  -15.163
458  132.153   -9.993 -124.633   27.590  -29.778
459  175.686  -25.514 -153.001   40.634  -30.568
460   34.824  -18.770 -148.926   29.976   -5.225
461   25.555  -16.532 -151.528   31.541  -19.643
462  165.861  -23.125 -124.787   37.046  -22.606
463   -6.150   -6.921 -164.712   64.823  -21.991
464    0.202   -4.728 -120.507   40.216  -35.438
465  163.517   -2.851 -144.644   62.559  -30.075
466  174.549  -12.731 -154.574   49.904  -20.693
467  -14.645   38.454 -148.026   65.833  -28.018
468  143.309    6.450 -132.638   41.760  -12.178
469  -20.949   -2.768 -129.457   42.257  -10.766
470  137.235   -6.437 -168.626   41.511  -26.119
471  127.467  -30.812 -150.581   29.460  -13.636
472   34.408  -17.053 -143.322   44.604  -21.352
473   20.565  -26.604 -146.369   47.716   -8.888
474  150.148  -11.862 -154.351   32.229  -19.960
475 -149.573  -43.953 -137.386   33.473  -21.263
476   42.044   -3.757 -161.039   38.839  -31.839
477  130.055   -4.356 -170.287   52.078  -22.741
478    0.628  -41.306 -140.674   35.550  -21.648
479   42.984  -29.348 -153.911   33.811  -10.016
480  164.297  -40.774 -158.416   53.152  -43.547
481   -2.698   -3.756 -162.685   39.638  -21.370
482   -0.913  -49.455 -136.806   18.147  -13.516
483  162.857  -29.236 -144.973   25.938  -50.454
484   15.320   -8.546 -161.888   49.479  -20.874
485  142.760  -27.423 -158.853   26.790  -32.056
486   34.042  -22.292 -143.342   57.743   -6.597
487  161.759  -15.832 -150.467   43.036  -46.429
488    1.343  -22.104 -142.958   28.797  -26.739
489   32.258  -12.740 -135.488   22.646  -22.470
490   15.160   -4.646 -160.655   42.777  -30.117
491  -11.860  -34.021 -131.129   24.574   -4.835
492   43.884  -29.666 -146.215   23.850  -25.988
493   14.909   -8.473 -147.336   37.630  -33.637
494  169.736  -39.549 -140.468   47.822  -19.058
495 -178.400  -32.238 -163.801   54.619  -29.638
496  135.523  -32.409 -155.174   42.532  -49.021
497  166.955  -13.621 -166.020   50.656  -17.909
498   15.108   -8.362 -157.186   40.266  -22.195
499 -166.480  -10.690 -162.955   43.952  -21.313
500 -178.582  -54.763 -131.988   30.977  -28.813
501   34.748   -4.757 -155.953   40.268  -34.038
502   -7.704  -16.665 -131.383   30.937  -42.892
503   16.792  -27.864 -129.232   33.479  -27.784
504  -33.708  -19.976 -132.443   13.043  -18.339
505   -3.211  -27.537 -153.596   35.973  -34.922
506    5.954    2.101 -167.600   43.551  -20.967
507    7.747  -12.451 -151.750   33.922  -15.506
508   -0.243   -1.270 -164.044   42.952  -25.872
509   -5.825  -20.361 -164.152   37.162  -30.195
510  167.875  -27.143 -162.873   34.557   -8.903
511  131.757  -15.628 -153.779   24.268  -22.854
512  148.678  -15.892 -156.023   33.181  -30.006
513  152.445  -25.789 -146.971   35.233  -34.575
514  117.840  -13.896 -140.727   39.974   -8.799
515  136.473  -19.078 -164.103   51.918  -16.446
516 -177.331  -39.092 -158.560   44.989  -30.615
517   -3.452  -32.288 -145.477   31.810    4.376
518  147.724  -36.832 -127.050   24.326  -26.954
519  175.030   -7.841  175.267   66.043  -33.350
520   13.704  -47.211 -127.242   37.520  -16.111
521   30.843  -22.461 -163.317   66.116  -19.670
522   -5.005  -23.038 -158.019   46.277   -3.979
523  -13.299  -27.450 -147.483   38.030  -20.379
524 -171.458  -37.230 -149.165   34.666  -26.847
525  162.566  -16.541 -161.752   46.912  -13.220
526   -0.908  -15.545 -147.224   33.394  -40.256
527   -6.899    8.618  171.635  126.432  -23.756
528   23.329   -4.707 -152.926   35.378  -23.176
