  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      348        0.746        4.485            0      372.530       57.146       84.550
      349        0.668        4.546            0      374.353       66.667       77.140
      350        0.746        4.549            0      375.344       56.414       75.081
      351        0.876        4.505            0      370.176       67.943       77.229
      352        0.738        4.535            0      373.269       77.661       76.345
      353        0.729        4.533            0      372.598       57.450       81.232
      354        0.828        4.513            0      373.936       78.354       74.882
      355        0.792        4.525            0      372.615       92.435       80.047
      356        0.869        4.593            0      373.395       70.088       80.120
      357        0.796        4.576            0      373.349       61.437       78.159
      358        0.775        4.580            0      376.623       61.722       77.173
      359        0.740        4.532            0      372.220       61.753       77.375
      360        0.911        4.527            0      374.104       83.742       80.613
      361        0.657        4.519            0      373.042       62.484       81.613
      362        0.837        4.564            0      373.767       90.275       78.012
      363        0.774        4.434            0      369.354       63.551       81.162
      364        0.671        4.528            0      372.263       45.071       77.910
      365        0.708        4.611            0      377.349       62.353       75.238
      366        0.685        4.509            0      369.600       63.081       76.996
      367        0.744        4.554            0      371.548       55.890       78.084
      368        0.702        4.590            0      376.974       68.114       74.508
      369        0.710        4.541            0      373.007       65.328       78.222
      370        0.737        4.555            0      374.127       69.905       74.485
      371        0.803        4.535            0      369.279       69.318       78.644
      372        0.762        4.570            0      377.281       82.163       76.230
      373        0.682        4.537            0      372.624       85.775       76.805
      374        0.689        4.535            0      375.825       85.819       78.623
      375        0.832        4.577            0      374.559       74.369       83.050
      376        0.687        4.526            0      373.064       83.020       76.615
      377        0.879        4.573            0      375.805       87.015       76.593
      378        0.848        4.549            0      372.725       63.679       77.826
      379        0.629        4.574            0      373.123       65.500       79.140
      380        0.646        4.578            0      373.800       67.141       77.264
      381        0.802        4.541            0      372.561       65.040       75.237
      382        0.918        4.491            0      368.714       77.561       78.298
      383        0.854        4.551            0      373.399       73.886       77.543
      384        0.713        4.570            0      375.919       54.509       78.054
      385        0.679        4.583            0      375.523       57.171       78.596
      386        0.743        4.504            0      371.293       66.397       76.734
      387        0.972        4.504            0      367.047       67.551       78.124
      388        0.603        4.535            0      370.381       77.958       77.264
      389        0.710        4.496            0      372.703       73.597       77.422
      390        0.823        4.538            0      371.755       47.993       80.522
      391        0.692        4.514            0      373.535       49.212       76.128
      392        0.748        4.505            0      372.956       54.434       78.294
      393        0.732        4.589            0      373.204       60.953       77.454
      394        0.781        4.516            0      375.766       55.413       78.909
      395        0.766        4.590            0      374.099       90.232       76.587
      396        0.758        4.538            0      374.491       85.123       77.286
      397        0.792        4.532            0      370.594       51.395       76.785
      398        0.622        4.583            0      372.409       67.310       75.019
      399        0.799        4.539            0      376.938       59.217       77.594
      400        0.755        4.498            0      374.293       61.169       74.790
      401        0.688        4.507            0      371.179       81.005       78.293
      402        0.799        4.568            0      376.332       93.758       76.974
      403        0.744        4.544            0      371.438       60.799       80.225
      404        0.764        4.473            0      367.972       66.434       77.564
      405        0.711        4.541            0      376.798       54.515       75.060
      406        0.737        4.476            0      373.269       63.447       78.337
      407        0.519        4.544            0      372.362       58.858       81.205
      408        0.430        4.560            0      375.276       51.420       78.814
      409        0.697        4.494            0      369.954       50.250       77.111
      410        0.659        4.573            0      371.980       46.480       74.701
      411        0.711        4.586            0      378.574       50.783       77.333
      412        0.842        4.583            0      368.465       51.578       81.812
      413        0.738        4.515            0      373.582       62.154       76.894
      414        0.723        4.512            0      374.739       58.689       80.209
      415        0.905        4.587            0      368.294       58.817       82.600
      416        0.685        4.563            0      373.286       40.524       79.559
      417        0.754        4.487            0      370.187       84.135       76.958
      418        0.788        4.588            0      376.814       88.550       79.634
      419        0.665        4.548            0      373.379       48.963       77.857
      420        0.699        4.555            0      371.935       64.727       79.998
      421        0.639        4.529            0      375.439       59.249       78.604
      422        0.768        4.538            0      375.161       57.914       78.042
      423        0.768        4.559            0      375.055       81.148       77.547
      424        0.793        4.515            0      371.702       78.511       77.900
      425        0.701        4.564            0      374.228       72.892       78.497
      426        0.770        4.510            0      371.867       58.631       77.800
      427        0.712        4.576            0      374.495       73.280       80.369
      428        0.789        4.535            0      371.172       66.930       77.919
      429        0.386        4.639            0      376.934       59.855       77.726
      430        0.559        4.540            0      376.297       51.640       79.665
      431        0.575        4.490            0      370.557       64.118       84.954
      432        0.360        4.605            0      379.519       61.517       81.837
      433        0.599        4.469            0      375.979       57.017       79.817
      434        0.387        4.555            0      376.197       50.406       81.138
      435        0.485        4.475            0      368.933       63.352       80.777
      436        0.706        4.536            0      372.476       42.531       83.050
      437        0.780        4.582            0      376.582       57.956       76.983
      438        0.804        4.544            0      373.434       68.866       76.269
      439        0.895        4.580            0      376.603       66.535       77.491
      440        0.848        4.532            0      373.441       63.378       77.708
      441        0.860        4.525            0      372.823       62.085       78.127
      442        0.936        4.495            0      377.408       75.541       79.852
      443        0.889        4.574            0      375.964       74.957       79.522
      444        0.469        4.540            0      377.575       72.274       79.464
      445        0.907        4.575            0      379.792       74.250       77.079
      446        0.848        4.498            0      372.516       78.515       78.897
      447        1.101        4.520            0      372.351      100.608       78.240
      448        0.696        4.547            0      372.396       64.893       80.420
      449        0.699        4.553            0      373.411       55.998       80.612
      450        0.699        4.580            0      370.167       42.826       80.774
      451        0.735        4.498            0      374.419       48.677       76.896
      452        0.743        4.575            0      377.808       63.665       78.826
      453        0.851        4.500            0      373.729       92.778       77.956
      454        0.700        4.531            0      374.970       76.066       76.685
      455        0.731        4.520            0      373.286       42.870       79.410
      456        0.732        4.568            0      374.512       73.471       77.350
      457        0.702        4.490            0      373.272       65.726       78.242
      458        0.770        4.518            0      376.561       87.371       76.171
      459        0.712        4.553            0      371.069       64.080       77.355
      460        0.737        4.635            0      374.392       80.660       78.373
      461        0.619        4.580            0      376.917       56.624       77.850
      462        0.792        4.513            0      377.312       70.108       78.974
      463        0.833        4.556            0      372.979      100.135       79.024
      464        0.929        4.571            0      379.966       97.069       79.806
      465        0.829        4.489            0      373.817      101.762       79.045
      466        0.896        4.563            0      371.019       92.475       80.216
      467        0.912        4.577            0      379.221      121.145       80.417
      468        0.887        4.555            0      377.499       99.201       76.905
      469        0.822        4.529            0      376.209       68.304       80.010
      470        0.661        4.524            0      373.108       57.232       77.333
      471        0.570        4.580            0      376.887       35.471       78.414
      472        0.758        4.576            0      375.758       88.176       79.942
      473        0.823        4.566            0      373.298      103.293       81.990
      474        0.713        4.521            0      369.941       82.630       78.390
      475        0.636        4.581            0      374.285       48.504       80.309
      476        0.650        4.551            0      375.902       52.150       78.839
      477        0.629        4.550            0      372.349       41.335       78.966
      478        0.692        4.499            0      370.500       49.912       78.394
      479        0.653        4.584            0      377.182       49.605       78.788
      480        0.706        4.579            0      376.094       61.518       78.651
      481        0.704        4.571            0      372.372       55.848       76.338
      482        0.563        4.524            0      370.850       51.442       80.581
      483        0.578        4.588            0      375.906       44.053       76.818
      484        0.648        4.522            0      374.829       48.853       76.895
      485        0.569        4.607            0      375.273       51.783       74.665
      486        0.712        4.529            0      373.557       51.506       81.730
      487        0.773        4.524            0      369.424       53.165       76.539
      488        0.659        4.569            0      376.296       57.180       77.616
      489        0.766        4.518            0      373.853       67.707       79.171
      490        0.733        4.555            0      374.806       43.883       77.721
      491        0.649        4.545            0      371.484       46.102       81.833
      492        0.560        4.554            0      373.542       44.847       75.593
      493        0.691        4.565            0      373.808       51.649       77.118
      494        0.827        4.515            0      371.049       67.249       81.280
      495        0.708        4.509            0      371.205       67.284       77.473
      496        0.643        4.492            0      373.393       51.214       77.784
      497        0.670        4.584            0      376.263       49.739       77.602
      498        0.657        4.535            0      374.749       66.648       75.319
      499        0.701        4.512            0      375.140       62.752       77.254
      500        0.800        4.575            0      370.366       68.010       80.791
      501        0.668        4.496            0      371.454       51.286       75.396
      502        0.810        4.518            0      375.979       57.973       79.013
      503        0.748        4.478            0      375.091       47.334       77.433
      504        0.681        4.475            0      372.122       52.885       77.285
      505        0.698        4.584            0      374.826       63.492       79.886
      506        0.750        4.540            0      376.555       62.773       76.800
      507        0.687        4.484            0      372.348       58.912       78.204
      508        0.727        4.564            0      374.801       64.705       75.367
      509        0.669        4.516            0      372.965       86.608       75.911
      510        0.623        4.523            0      370.469       38.011       76.279
      511        0.582        4.529            0      369.309       45.649       74.712
      512        0.645        4.516            0      371.971       40.820       76.308
      513        0.726        4.524            0      369.488       51.488       76.794
      514        0.777        4.501            0      373.207       63.514       76.657
      515        0.682        4.520            0      371.558       59.962       78.569
      516        0.665        4.559            0      372.381       53.362       79.010
      517        0.647        4.511            0      373.145       40.917       77.809
      518        0.746        4.543            0      370.837       53.670       77.130
      519        0.739        4.561            0      374.123       55.706       80.755
      520        0.674        4.535            0      377.117       57.033       79.275
      521        0.683        4.572            0      374.921       51.495       76.436
      522        0.623        4.529            0      372.358       48.228       78.736
      523        0.642        4.556            0      373.893       45.213       79.252
      524        0.675        4.554            0      370.814       55.391       78.098
      525        0.703        4.584            0      374.764       63.922       78.879
      526        0.634        4.619            0      379.329       45.625       76.988
      527        0.320        4.581            0      375.427       33.018       78.809
      528        0.655        4.547            0      375.949       54.323       77.353
      529        0.779        4.526            0      373.255       48.524       78.852
      530        0.661        4.537            0      371.914       41.217       79.687
      531        0.827        4.470            0      370.731       70.804       75.605
      532        0.724        4.528            0      376.231       81.398       76.992
      533        0.630        4.550            0      372.659       52.366       78.165
      534        0.731        4.539            0      373.147       51.897       78.156
      535        0.704        4.569            0      374.889       56.705       75.773
      536        0.684        4.557            0      376.432       52.503       74.280
      537        0.685        4.532            0      374.607       36.606       77.613
      538        0.796        4.496            0      371.497       58.124       78.920
      539        0.711        4.584            0      372.757       50.286       81.156
      540        0.727        4.534            0      371.870       51.518       77.450
      541        0.707        4.545            0      372.877       66.129       77.200
      542        0.681        4.579            0      375.337       75.641       76.312
      543        0.748        4.474            0      372.350       58.483       76.182
      544        0.668        4.511            0      370.354       47.056       77.529
      545        0.718        4.534            0      372.714       56.271       74.809
      546        0.676        4.547            0      374.744       49.026       78.411
      547        0.773        4.528            0      373.928       57.708       77.290
      548        0.629        4.612            0      376.638       55.572       79.533
      549        0.734        4.537            0      374.813       46.037       79.566
      550        0.680        4.617            0      374.811       47.044       77.904
      551        0.694        4.574            0      374.224       62.564       79.358
      552        0.711        4.514            0      371.861       51.518       76.602
      553        0.725        4.534            0      371.908       75.918       77.420
